A122 121.6078 25.2724    55.0 0 1 CWB  CSMT  FBA 3.2400E-04 3.2300E-04 3.2500E-04  1   0.0 20181203 99999999
A123 121.5886 25.2878    21.0 0 1 CWB  CSMT  FBA 3.2200E-04 3.2200E-04 3.2400E-04  1   0.0 20190227 99999999
A124 121.5534 24.8637   146.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181018 99999999
A125 121.6549 25.0677    18.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181203 99999999
A127 121.8255 24.9719   399.0 0 1 CWB  CSMT  FBA 3.2300E-04 3.2400E-04 3.2300E-04  1   0.0 20190307 20220219
A127 121.8255 24.9719   399.0 0 1 CWB  CSMT  FBA 3.2300E-04 3.2400E-04 3.2300E-04  1   0.0 20220219 99999999
A128 121.4492 25.1644    21.0 0 1 CWB  CSMT  FBA 3.2200E-04 3.2400E-04 3.2100E-04  1   0.0 20190305 20200617
A128 121.4492 25.1644    21.0 0 1 CWB  CSMT  FBA 3.2200E-04 3.2400E-04 3.2100E-04  1   0.0 20200617 99999999
A129 121.5024 24.7772   409.0 0 1 CWB  CSMT  FBA 3.2300E-04 3.1800E-04 3.2200E-04  1   0.0 20190315 20200617
A129 121.5024 24.7772   409.0 0 1 CWB  CSMT  FBA 3.2300E-04 3.1800E-04 3.2200E-04  1   0.0 20200617 20211125
A130 121.5446 25.1623   616.0 0 1 CWB  CSMT  FBA 3.1800E-04 3.2200E-04 3.2400E-04  1   0.0 20190225 20200617
A130 121.5446 25.1623   616.0 0 1 CWB  CSMT  FBA 3.1800E-04 3.2200E-04 3.2400E-04  1   0.0 20200617 99999999
A131 121.6101 25.0582    12.0 0 1 CWB  CSMT  FBA 3.2100E-04 3.2000E-04 3.2200E-04  1   0.0 20190605 99999999
A133 121.4272 25.0743   196.0 0 1 CWB  CSMT  FBA 3.2300E-04 3.2200E-04 3.2200E-04  1   0.0 20200115 20220729
A133 121.4272 25.0743   196.0 0 1 CWB  CSMT  FBA 3.2300E-04 3.2300E-04 3.2500E-04  1   0.0 20220729 99999999
A134 121.8630 25.0349    27.0 0 1 CWB  CSMT  FBA 3.2300E-04 3.1800E-04 3.2200E-04  1   0.0 20220316 99999999
A138 121.8044 25.0156   100.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20221026 99999999
B003 121.1432 25.0456    56.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181203 99999999
B004 121.2030 25.0601    36.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181203 99999999
B006 121.1493 24.9095   165.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181203 99999999
B011 121.2865 24.8841    20.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181205 99999999
B012 121.2987 24.9361   140.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20180926 99999999
B013 121.2134 24.8640   234.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181205 99999999
B014 121.3153 25.0448   104.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181205 99999999
B016 120.9656 24.8145    22.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20180913 99999999
B017 121.0181 24.7786    91.0 0 1 CWB  CSMT  FBA 3.2300E-04 3.2300E-04 3.1600E-04  1   0.0 20181205 99999999
B018 121.0608 24.8786   110.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181205 99999999
B019 120.9874 24.9006    22.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181205 99999999
B021 121.1740 24.7919   141.0 0 1 CWB  CSMT  FBA 2.4500E-04 2.4500E-04 2.4500E-04  1   0.0 20181205 99999999
